robustness_category,difficulty,object_specie_pair,num_questions,question,average_technical_accuracy,average_comprehensiveness,average_relevance,average_style_and_clarity,average_overall_score
general,general,metal_nut-flip,5,"What is the object in the image, and what is its intended function?",1.2,1.6,2.0,4.8,1.4
general,general,metal_nut-flip,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",1.6,2.6,3.4,4.8,1.8
general,general,metal_nut-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.0,1.0,1.4,4.8,1.2
general,general,metal_nut-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",2.6,2.6,4.4,4.8,2.6
general,general,metal_nut-good,5,"What is the object in the image, and what is its intended function?",1.2,1.6,2.4,5.0,1.2
general,general,metal_nut-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",1.8,3.0,3.8,5.0,2.2
general,general,metal_nut-scratch,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.0,1.2,1.4,4.8,1.2
general,general,metal_nut-scratch,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",2.6,2.8,4.4,4.8,2.6
general,general,metal_nut-scratch,5,"What is the object in the image, and what is its intended function?",1.2,1.6,2.6,5.0,1.6
general,general,metal_nut-scratch,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",1.4,2.4,3.4,5.0,1.6
general,domain,pcb1-bad,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.6,5.0,5.0,4.8
general,domain,pcb1-bad,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.6,4.0,5.0,5.0,4.0
general,domain,pcb1-bad,5,"What is the object in the image, and what is its intended function?",5.0,5.0,5.0,5.0,5.0
general,domain,pcb1-bad,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,3.8,5.0,5.0,3.8
general,domain,pcb1-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,5.0,5.0,5.0,5.0
general,domain,pcb1-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.4,4.2,5.0,5.0,4.2
general,domain,pcb1-good,5,"What is the object in the image, and what is its intended function?",5.0,5.0,5.0,5.0,5.0
general,domain,pcb1-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.0,5.0,5.0,4.0
general,domain,pcb2-bad,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.0,4.0,4.2,5.0,4.0
general,domain,pcb2-bad,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",2.8,2.8,4.2,4.8,2.8
general,domain,pcb2-bad,5,"What is the object in the image, and what is its intended function?",4.2,4.2,4.2,5.0,4.2
general,domain,pcb2-bad,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.2,4.2,4.6,5.0,4.2
general,domain,pcb2-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.2,4.2,4.4,5.0,4.2
general,domain,pcb2-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.0,3.2,4.4,5.0,3.0
general,domain,pcb2-good,5,"What is the object in the image, and what is its intended function?",5.0,4.8,5.0,5.0,4.8
general,domain,pcb2-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.0,3.4,4.4,5.0,3.2
general,domain,pcb3-bad,5,Explain the intended function or use of the object shown when it is in ideal condition.,3.4,3.4,3.4,4.8,3.2
general,domain,pcb3-bad,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.0,3.4,4.4,5.0,3.0
general,domain,pcb3-bad,5,"What is the object in the image, and what is its intended function?",2.6,2.6,3.0,4.8,2.4
general,domain,pcb3-bad,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",2.6,3.2,4.4,5.0,2.8
general,domain,pcb3-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.2,4.0,4.4,5.0,4.0
general,domain,pcb3-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.2,3.4,4.4,5.0,3.2
general,domain,pcb3-good,5,"What is the object in the image, and what is its intended function?",3.6,3.6,4.2,4.8,3.6
general,domain,pcb3-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.4,4.4,5.0,5.0,4.2
general,general,pill-color,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,5.0,5.0,5.0,5.0
general,general,pill-color,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.6,4.2,5.0,5.0,4.2
general,general,pill-color,5,"What is the object in the image, and what is its intended function?",5.0,4.6,5.0,5.0,4.6
general,general,pill-color,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.6,5.0,4.8,4.4
general,general,pill-combined,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.2,4.2,4.2,5.0,4.2
general,general,pill-combined,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,4.2,5.0,5.0,3.8
general,general,pill-combined,5,"What is the object in the image, and what is its intended function?",4.6,4.6,5.0,5.0,4.4
general,general,pill-combined,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.0,5.0,4.6,4.0
general,general,pill-crack,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,5.0,5.0,5.0,5.0
general,general,pill-crack,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,4.2,5.0,5.0,3.8
general,general,pill-crack,5,"What is the object in the image, and what is its intended function?",5.0,4.0,5.0,5.0,4.2
general,general,pill-crack,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,5.0,5.0,5.0,4.6
general,general,pill-faulty_imprint,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.4,5.0,5.0,4.4
general,general,pill-faulty_imprint,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.6,4.6,5.0,5.0,4.2
general,general,pill-faulty_imprint,5,"What is the object in the image, and what is its intended function?",4.6,4.0,5.0,5.0,4.0
general,general,pill-faulty_imprint,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.8,5.0,4.8,4.8
general,general,pill-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,5.0,5.0,5.0,5.0
general,general,pill-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,4.0,5.0,5.0,4.0
general,general,pill-good,5,"What is the object in the image, and what is its intended function?",5.0,4.6,5.0,5.0,4.6
general,general,pill-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,4.6,5.0,4.8,4.6
general,general,screw-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.8,5.0,5.0,5.0
general,general,screw-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,3.2,4.8,4.8,3.8
general,general,screw-good,5,"What is the object in the image, and what is its intended function?",4.4,4.0,5.0,5.0,4.2
general,general,screw-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.0,4.0,5.0,5.0,3.8
general,general,screw-manipulated_front,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.6,5.0,5.0,4.8
general,general,screw-manipulated_front,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,3.4,4.8,5.0,4.0
general,general,screw-manipulated_front,5,"What is the object in the image, and what is its intended function?",4.2,4.6,5.0,5.0,4.2
general,general,screw-manipulated_front,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.0,4.2,5.0,5.0,3.8
general,general,screw-scratch_head,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.0,4.2,5.0,5.0,3.8
