robustness_category,difficulty,object_specie_pair,num_questions,question,correct_questions,incorrect_questions,accuracy_per_pair,average_per_category
general,general,hazelnut-cut,5,What are the colors of the object shown?,5,0,1.0,
general,general,hazelnut-cut,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,hazelnut-cut,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,hazelnut-cut,5,What is the object in the image?,4,1,0.8,
general,general,hazelnut-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,hazelnut-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,hazelnut-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,hazelnut-good,5,What is the object in the image?,5,0,1.0,
general,general,hazelnut-hole,5,What are the colors of the object shown?,5,0,1.0,
general,general,hazelnut-hole,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,hazelnut-hole,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,hazelnut-hole,5,What is the object in the image?,4,1,0.8,
general,general,hazelnut-print,5,What are the colors of the object shown?,5,0,1.0,
general,general,hazelnut-print,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,hazelnut-print,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,hazelnut-print,5,What is the object in the image?,5,0,1.0,
general,general,leather-color,5,What are the colors of the object shown?,3,2,0.6,
general,general,leather-color,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,leather-color,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,leather-color,5,What is the object in the image?,5,0,1.0,
general,general,leather-cut,5,What are the colors of the object shown?,5,0,1.0,
general,general,leather-cut,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,leather-cut,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,leather-cut,5,What is the object in the image?,5,0,1.0,
general,general,leather-fold,5,What are the colors of the object shown?,5,0,1.0,
general,general,leather-fold,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,leather-fold,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,leather-fold,5,What is the object in the image?,5,0,1.0,
general,general,leather-glue,5,What are the colors of the object shown?,4,1,0.8,
general,general,leather-glue,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,leather-glue,5,What is the intended function of the object in the image?,4,1,0.8,
general,general,leather-glue,5,What is the object in the image?,5,0,1.0,
general,general,leather-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,leather-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,leather-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,leather-good,5,What is the object in the image?,5,0,1.0,
general,general,leather-poke,5,What are the colors of the object shown?,5,0,1.0,
general,general,leather-poke,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,leather-poke,5,What is the intended function of the object in the image?,4,1,0.8,
general,general,leather-poke,5,What is the object in the image?,5,0,1.0,
general,general,metal_nut-bent,5,What are the colors of the object shown?,5,0,1.0,
general,general,metal_nut-bent,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,metal_nut-bent,5,What is the intended function of the object in the image?,0,5,0.0,
general,general,metal_nut-bent,5,What is the object in the image?,1,4,0.2,
general,general,metal_nut-color,5,What are the colors of the object shown?,3,2,0.6,
general,general,metal_nut-color,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,metal_nut-color,5,What is the intended function of the object in the image?,0,5,0.0,
general,general,metal_nut-color,5,What is the object in the image?,3,2,0.6,
general,general,metal_nut-flip,5,What are the colors of the object shown?,5,0,1.0,
general,general,metal_nut-flip,5,What are the main material(s) of object in the image?,4,1,0.8,
general,general,metal_nut-flip,5,What is the intended function of the object in the image?,2,3,0.4,
general,general,metal_nut-flip,5,What is the object in the image?,2,3,0.4,
general,general,metal_nut-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,metal_nut-good,5,What are the main material(s) of object in the image?,4,1,0.8,
general,general,metal_nut-good,5,What is the intended function of the object in the image?,1,4,0.2,
general,general,metal_nut-good,5,What is the object in the image?,2,3,0.4,
general,general,metal_nut-scratch,5,What are the colors of the object shown?,5,0,1.0,
general,general,metal_nut-scratch,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,metal_nut-scratch,5,What is the intended function of the object in the image?,0,5,0.0,
general,general,metal_nut-scratch,5,What is the object in the image?,3,2,0.6,
general,domain,pcb1-bad,5,What are the colors of the object shown?,5,0,1.0,
general,domain,pcb1-bad,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,pcb1-bad,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,pcb1-bad,5,What is the object in the image?,2,3,0.4,
general,domain,pcb1-good,5,What are the colors of the object shown?,5,0,1.0,
general,domain,pcb1-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,pcb1-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,pcb1-good,5,What is the object in the image?,3,2,0.6,
general,domain,pcb2-bad,5,What are the colors of the object shown?,5,0,1.0,
general,domain,pcb2-bad,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,pcb2-bad,5,What is the intended function of the object in the image?,4,1,0.8,
general,domain,pcb2-bad,5,What is the object in the image?,5,0,1.0,
general,domain,pcb2-good,5,What are the colors of the object shown?,5,0,1.0,
general,domain,pcb2-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,pcb2-good,5,What is the intended function of the object in the image?,4,1,0.8,
general,domain,pcb2-good,5,What is the object in the image?,4,1,0.8,
general,domain,pcb3-bad,5,What are the colors of the object shown?,5,0,1.0,
general,domain,pcb3-bad,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,pcb3-bad,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,pcb3-bad,5,What is the object in the image?,2,3,0.4,
general,domain,pcb3-good,5,What are the colors of the object shown?,5,0,1.0,
general,domain,pcb3-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,pcb3-good,5,What is the intended function of the object in the image?,4,1,0.8,
general,domain,pcb3-good,5,What is the object in the image?,2,3,0.4,
general,general,pill-color,5,What are the colors of the object shown?,5,0,1.0,
general,general,pill-color,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,pill-color,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,pill-color,5,What is the object in the image?,5,0,1.0,
general,general,pill-combined,5,What are the colors of the object shown?,5,0,1.0,
general,general,pill-combined,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,pill-combined,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,pill-combined,5,What is the object in the image?,4,1,0.8,
general,general,pill-crack,5,What are the colors of the object shown?,5,0,1.0,
general,general,pill-crack,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,pill-crack,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,pill-crack,5,What is the object in the image?,4,1,0.8,
general,general,pill-faulty_imprint,5,What are the colors of the object shown?,4,1,0.8,
general,general,pill-faulty_imprint,5,What are the main material(s) of object in the image?,4,1,0.8,
general,general,pill-faulty_imprint,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,pill-faulty_imprint,5,What is the object in the image?,3,2,0.6,
general,general,pill-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,pill-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,pill-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,pill-good,5,What is the object in the image?,4,1,0.8,
general,general,screw-good,5,What are the colors of the object shown?,4,1,0.8,
general,general,screw-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,screw-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,screw-good,5,What is the object in the image?,4,1,0.8,
general,general,screw-manipulated_front,5,What are the colors of the object shown?,4,1,0.8,
general,general,screw-manipulated_front,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,screw-manipulated_front,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,screw-manipulated_front,5,What is the object in the image?,5,0,1.0,
general,general,screw-scratch_head,5,What are the colors of the object shown?,5,0,1.0,
general,general,screw-scratch_head,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,screw-scratch_head,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,screw-scratch_head,5,What is the object in the image?,5,0,1.0,
general,general,screw-thread_side,5,What are the colors of the object shown?,5,0,1.0,
general,general,screw-thread_side,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,screw-thread_side,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,screw-thread_side,5,What is the object in the image?,5,0,1.0,
general,general,tile-crack,5,What are the colors of the object shown?,4,1,0.8,
general,general,tile-crack,5,What are the main material(s) of object in the image?,2,3,0.4,
general,general,tile-crack,5,What is the intended function of the object in the image?,4,1,0.8,
general,general,tile-crack,5,What is the object in the image?,5,0,1.0,
general,general,tile-glue_strip,5,What are the colors of the object shown?,5,0,1.0,
general,general,tile-glue_strip,5,What are the main material(s) of object in the image?,2,3,0.4,
general,general,tile-glue_strip,5,What is the intended function of the object in the image?,3,2,0.6,
general,general,tile-glue_strip,5,What is the object in the image?,4,1,0.8,
general,general,tile-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,tile-good,5,What are the main material(s) of object in the image?,4,1,0.8,
general,general,tile-good,5,What is the intended function of the object in the image?,3,2,0.6,
general,general,tile-good,5,What is the object in the image?,5,0,1.0,
general,general,tile-gray_stroke,5,What are the colors of the object shown?,5,0,1.0,
general,general,tile-gray_stroke,5,What are the main material(s) of object in the image?,0,5,0.0,
general,general,tile-gray_stroke,5,What is the intended function of the object in the image?,4,1,0.8,
general,general,tile-gray_stroke,5,What is the object in the image?,3,2,0.6,
general,general,tile-oil,5,What are the colors of the object shown?,5,0,1.0,
general,general,tile-oil,5,What are the main material(s) of object in the image?,2,3,0.4,
general,general,tile-oil,5,What is the intended function of the object in the image?,4,1,0.8,
general,general,tile-oil,5,What is the object in the image?,5,0,1.0,
general,general,toothbrush-defective,5,What are the colors of the object shown?,5,0,1.0,
general,general,toothbrush-defective,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,toothbrush-defective,5,What is the intended function of the object in the image?,4,1,0.8,
general,general,toothbrush-defective,5,What is the object in the image?,5,0,1.0,
general,general,toothbrush-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,toothbrush-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,toothbrush-good,5,What is the intended function of the object in the image?,4,1,0.8,
general,general,toothbrush-good,5,What is the object in the image?,4,1,0.8,
general,domain,transistor-bent_lead,5,What are the colors of the object shown?,5,0,1.0,
general,domain,transistor-bent_lead,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,transistor-bent_lead,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,transistor-bent_lead,5,What is the object in the image?,4,1,0.8,
general,domain,transistor-cut_lead,5,What are the colors of the object shown?,5,0,1.0,
general,domain,transistor-cut_lead,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,transistor-cut_lead,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,transistor-cut_lead,5,What is the object in the image?,5,0,1.0,
general,domain,transistor-damaged_case,5,What are the colors of the object shown?,5,0,1.0,
general,domain,transistor-damaged_case,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,transistor-damaged_case,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,transistor-damaged_case,5,What is the object in the image?,5,0,1.0,
general,domain,transistor-good,5,What are the colors of the object shown?,5,0,1.0,
general,domain,transistor-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,transistor-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,transistor-good,5,What is the object in the image?,5,0,1.0,
general,domain,transistor-misplaced,5,What are the colors of the object shown?,5,0,1.0,
general,domain,transistor-misplaced,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,transistor-misplaced,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,transistor-misplaced,5,What is the object in the image?,3,2,0.6,
general,general,wood-color,5,What are the colors of the object shown?,5,0,1.0,
general,general,wood-color,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,wood-color,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,wood-color,5,What is the object in the image?,5,0,1.0,
general,general,wood-combined,5,What are the colors of the object shown?,5,0,1.0,
general,general,wood-combined,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,wood-combined,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,wood-combined,5,What is the object in the image?,5,0,1.0,
general,general,wood-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,wood-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,wood-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,wood-good,5,What is the object in the image?,5,0,1.0,
general,general,wood-liquid,5,What are the colors of the object shown?,5,0,1.0,
general,general,wood-liquid,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,wood-liquid,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,wood-liquid,5,What is the object in the image?,5,0,1.0,
general,general,wood-scratch,5,What are the colors of the object shown?,5,0,1.0,
general,general,wood-scratch,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,wood-scratch,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,wood-scratch,5,What is the object in the image?,5,0,1.0,
general,general,zipper-broken_teeth,5,What are the colors of the object shown?,5,0,1.0,
general,general,zipper-broken_teeth,5,What are the main material(s) of object in the image?,1,4,0.2,
general,general,zipper-broken_teeth,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,zipper-broken_teeth,5,What is the object in the image?,5,0,1.0,
general,general,zipper-combined,5,What are the colors of the object shown?,5,0,1.0,
general,general,zipper-combined,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,zipper-combined,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,zipper-combined,5,What is the object in the image?,5,0,1.0,
general,general,zipper-fabric_interior,5,What are the colors of the object shown?,5,0,1.0,
general,general,zipper-fabric_interior,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,zipper-fabric_interior,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,zipper-fabric_interior,5,What is the object in the image?,5,0,1.0,
general,general,zipper-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,zipper-good,5,What are the main material(s) of object in the image?,3,2,0.6,
general,general,zipper-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,zipper-good,5,What is the object in the image?,5,0,1.0,
pairwise,general,bottle-broken_large,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",5,0,1.0,
pairwise,general,bottle-broken_large,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",4,1,0.8,
pairwise,general,bottle-broken_small,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",5,0,1.0,
pairwise,general,bottle-broken_small,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",5,0,1.0,
pairwise,general,bottle-contamination,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",5,0,1.0,
pairwise,general,bottle-contamination,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",5,0,1.0,
pairwise,general,bottle-good,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",1,4,0.2,
pairwise,general,bottle-good,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",2,3,0.4,
pairwise,domain,cable-bent_wire,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",5,0,1.0,
pairwise,domain,cable-bent_wire,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",5,0,1.0,
pairwise,domain,cable-cable_swap,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",3,2,0.6,
pairwise,domain,cable-cable_swap,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",4,1,0.8,
pairwise,domain,cable-combined,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",5,0,1.0,
pairwise,domain,cable-combined,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",5,0,1.0,
pairwise,domain,cable-good,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",2,3,0.4,
pairwise,domain,cable-good,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",1,4,0.2,
pairwise,domain,cable-missing_wire,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",2,3,0.4,
pairwise,domain,cable-missing_wire,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",2,3,0.4,
pairwise,general,candle-bad,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",4,1,0.8,
pairwise,general,candle-bad,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",3,2,0.6,
pairwise,general,candle-good,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",3,2,0.6,
pairwise,general,candle-good,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",4,1,0.8,
pairwise,general,capsule-crack,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",3,2,0.6,
pairwise,general,capsule-crack,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",5,0,1.0,
pairwise,general,capsule-faulty_imprint,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",4,1,0.8,
pairwise,general,capsule-faulty_imprint,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",5,0,1.0,
pairwise,general,capsule-good,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",3,2,0.6,
pairwise,general,capsule-good,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",3,2,0.6,
pairwise,general,capsule-poke,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",4,1,0.8,
pairwise,general,capsule-poke,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",4,1,0.8,
pairwise,general,capsule-scratch,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",4,1,0.8,
pairwise,general,capsule-scratch,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",3,2,0.6,
pairwise,general,capsule-squeeze,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",5,0,1.0,
pairwise,general,capsule-squeeze,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",3,2,0.6,
pairwise,general,capsules-bad,5,"Compare the query object to the reference and assess whether it has any defects. If so, identify the defect(s) and their potential effects on the object.",4,1,0.8,
pairwise,general,capsules-bad,5,"Compare the query to the reference, and state whether it appears normal or has any visible anomalies or defects.",2,3,0.4,
