robustness_category,difficulty,object_specie_pair,num_questions,question,average_technical_accuracy,average_comprehensiveness,average_relevance,average_style_and_clarity,average_overall_score
general,general,candle-bad,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.4,3.4,4.8,4.8,3.8
general,general,candle-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.0,5.0,5.0,4.0
general,general,candle-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,3.6,5.0,5.0,4.0
general,general,candle-good,5,"What is the object in the image, and what is its intended function?",5.0,5.0,5.0,5.0,5.0
general,general,candle-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.2,3.6,4.8,4.8,4.0
general,general,capsule-crack,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.8,3.8,5.0,5.0,4.0
general,general,capsule-crack,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.8,4.2,5.0,5.0,4.2
general,general,capsule-crack,5,"What is the object in the image, and what is its intended function?",4.0,4.4,5.0,5.0,4.0
general,general,capsule-crack,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",5.0,4.2,5.0,5.0,4.2
general,general,capsule-faulty_imprint,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.2,5.0,5.0,4.2
general,general,capsule-faulty_imprint,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.8,4.2,5.0,5.0,4.4
general,general,capsule-faulty_imprint,5,"What is the object in the image, and what is its intended function?",4.4,4.2,5.0,5.0,4.2
general,general,capsule-faulty_imprint,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.4,5.0,5.0,4.4
general,general,capsule-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.0,5.0,5.0,4.2
general,general,capsule-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",5.0,4.8,5.0,5.0,4.8
general,general,capsule-good,5,"What is the object in the image, and what is its intended function?",4.2,4.0,5.0,5.0,4.0
general,general,capsule-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.0,5.0,5.0,4.0
general,general,capsule-poke,5,Explain the intended function or use of the object shown when it is in ideal condition.,3.8,3.6,4.8,5.0,3.8
general,general,capsule-poke,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",5.0,4.6,5.0,5.0,4.6
general,general,capsule-poke,5,"What is the object in the image, and what is its intended function?",4.2,4.2,5.0,5.0,4.2
general,general,capsule-poke,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",5.0,4.6,5.0,5.0,4.8
general,general,capsule-scratch,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.2,4.2,5.0,5.0,4.0
general,general,capsule-scratch,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",5.0,4.6,5.0,5.0,4.6
general,general,capsule-scratch,5,"What is the object in the image, and what is its intended function?",4.2,4.2,5.0,5.0,4.0
general,general,capsule-scratch,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",5.0,4.2,5.0,5.0,4.2
general,general,capsule-squeeze,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.8,3.8,5.0,5.0,4.0
general,general,capsule-squeeze,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.6,4.4,5.0,5.0,4.2
general,general,capsule-squeeze,5,"What is the object in the image, and what is its intended function?",4.0,3.8,4.8,5.0,3.8
general,general,capsule-squeeze,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.2,5.0,5.0,4.2
general,general,capsules-bad,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.6,5.0,5.0,4.6
general,general,capsules-bad,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,3.4,4.8,4.8,3.2
general,general,capsules-bad,5,"What is the object in the image, and what is its intended function?",4.8,4.4,5.0,5.0,4.4
general,general,capsules-bad,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.4,4.0,4.8,5.0,4.2
general,general,capsules-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.8,4.0,5.0,5.0,4.0
general,general,capsules-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,3.6,4.8,4.8,3.8
general,general,capsules-good,5,"What is the object in the image, and what is its intended function?",4.6,4.8,5.0,5.0,4.6
general,general,capsules-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,4.2,5.0,5.0,4.2
general,general,carpet-color,5,Explain the intended function or use of the object shown when it is in ideal condition.,3.2,3.0,4.0,5.0,3.2
general,general,carpet-color,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.0,3.0,4.0,4.2,3.0
general,general,carpet-color,5,"What is the object in the image, and what is its intended function?",3.0,3.0,4.4,5.0,3.0
general,general,carpet-color,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.8,3.4,5.0,5.0,3.8
general,general,carpet-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,3.0,3.0,3.6,5.0,3.0
general,general,carpet-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,4.0,4.2,4.8,3.8
general,general,carpet-good,5,"What is the object in the image, and what is its intended function?",3.2,3.4,4.4,5.0,3.2
general,general,carpet-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.0,3.4,4.4,4.6,4.0
general,general,carpet-hole,5,Explain the intended function or use of the object shown when it is in ideal condition.,2.2,2.2,3.0,5.0,2.4
general,general,carpet-hole,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,3.8,4.2,4.6,3.8
general,general,carpet-hole,5,"What is the object in the image, and what is its intended function?",2.6,2.8,4.4,5.0,2.8
general,general,carpet-hole,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.8,3.4,4.4,4.4,3.8
general,general,carpet-metal_contamination,5,Explain the intended function or use of the object shown when it is in ideal condition.,2.6,2.4,3.2,5.0,2.6
general,general,carpet-metal_contamination,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,3.6,4.2,4.4,3.6
general,general,carpet-metal_contamination,5,"What is the object in the image, and what is its intended function?",2.6,2.6,3.4,4.8,2.8
general,general,carpet-metal_contamination,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.6,3.4,4.4,4.8,3.6
general,general,carpet-thread,5,Explain the intended function or use of the object shown when it is in ideal condition.,3.0,2.6,3.4,5.0,3.0
general,general,carpet-thread,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,3.6,4.4,4.4,3.6
general,general,carpet-thread,5,"What is the object in the image, and what is its intended function?",3.0,2.6,3.6,5.0,3.0
general,general,carpet-thread,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.0,3.8,4.8,4.8,4.0
general,general,grid-bent,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.2,5.0,4.8,4.4
general,general,grid-bent,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,4.0,4.8,4.8,3.6
general,general,grid-bent,5,"What is the object in the image, and what is its intended function?",4.6,4.6,5.0,5.0,4.6
general,general,grid-bent,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.6,4.4,4.8,4.8,3.6
general,general,grid-broken,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.6,5.0,5.0,4.6
general,general,grid-broken,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,4.2,4.8,4.8,3.8
general,general,grid-broken,5,"What is the object in the image, and what is its intended function?",4.8,4.8,5.0,4.8,4.6
general,general,grid-broken,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.8,3.8,4.6,5.0,3.4
general,general,grid-glue,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.8,4.4,5.0,5.0,4.4
general,general,grid-glue,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,4.0,5.0,5.0,4.0
general,general,grid-glue,5,"What is the object in the image, and what is its intended function?",4.6,4.4,5.0,5.0,4.4
general,general,grid-glue,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.6,4.0,5.0,5.0,3.8
general,general,grid-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,3.6,3.6,4.4,4.8,3.8
general,general,grid-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.0,3.4,4.8,4.8,3.0
general,general,grid-good,5,"What is the object in the image, and what is its intended function?",3.6,3.8,4.6,5.0,3.8
general,general,grid-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.6,3.8,5.0,5.0,3.6
general,general,grid-metal_contamination,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.4,5.0,5.0,4.6
general,general,grid-metal_contamination,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,3.8,4.8,5.0,3.4
general,general,grid-metal_contamination,5,"What is the object in the image, and what is its intended function?",4.6,4.6,4.8,4.8,4.6
general,general,grid-metal_contamination,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.0,4.0,5.0,4.8,4.0
general,general,grid-thread,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.8,4.4,5.0,5.0,4.4
general,general,grid-thread,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,4.0,4.8,5.0,4.0
general,general,grid-thread,5,"What is the object in the image, and what is its intended function?",4.4,4.6,5.0,5.0,4.4
general,general,grid-thread,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.6,3.8,4.8,5.0,3.6
general,general,hazelnut-crack,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.2,5.0,5.0,4.2
general,general,hazelnut-crack,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,3.2,4.6,4.8,3.4
general,general,hazelnut-crack,5,"What is the object in the image, and what is its intended function?",4.4,4.6,5.0,5.0,4.4
general,general,hazelnut-crack,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.8,4.0,5.0,5.0,3.8
general,general,hazelnut-cut,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.4,5.0,5.0,4.6
general,general,hazelnut-cut,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.6,3.8,4.8,5.0,4.0
general,general,hazelnut-cut,5,"What is the object in the image, and what is its intended function?",4.6,4.2,5.0,5.0,4.4
general,general,hazelnut-cut,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.4,4.0,5.0,5.0,4.2
general,general,hazelnut-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.4,5.0,5.0,4.4
general,general,hazelnut-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.6,4.0,5.0,4.8,4.2
general,general,hazelnut-good,5,"What is the object in the image, and what is its intended function?",4.2,3.8,4.8,5.0,3.8
general,general,hazelnut-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,4.0,5.0,5.0,4.0
general,general,hazelnut-hole,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.2,5.0,4.8,4.2
general,general,hazelnut-hole,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,3.6,4.8,5.0,3.8
general,general,hazelnut-hole,5,"What is the object in the image, and what is its intended function?",4.0,4.4,5.0,4.8,4.0
general,general,hazelnut-hole,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.0,3.4,4.8,5.0,4.0
general,general,hazelnut-print,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,3.8,5.0,5.0,4.2
general,general,hazelnut-print,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.4,4.0,5.0,5.0,4.0
general,general,hazelnut-print,5,"What is the object in the image, and what is its intended function?",3.8,3.6,4.8,5.0,3.6
general,general,hazelnut-print,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.4,4.0,5.0,4.8,4.0
general,general,leather-color,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.4,4.0,4.8,4.6,4.0
general,general,leather-color,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,3.4,4.4,4.6,4.0
general,general,leather-color,5,"What is the object in the image, and what is its intended function?",4.0,4.4,5.0,5.0,4.0
general,general,leather-color,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.2,3.6,5.0,5.0,4.0
general,general,leather-cut,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.8,4.0,5.0,5.0,4.0
general,general,leather-cut,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,3.8,4.2,4.6,4.0
general,general,leather-cut,5,"What is the object in the image, and what is its intended function?",4.6,4.2,4.8,5.0,4.4
general,general,leather-cut,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.0,5.0,4.8,4.0
general,general,leather-fold,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.2,3.8,5.0,4.8,4.0
general,general,leather-fold,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,3.0,4.6,4.6,3.8
general,general,leather-fold,5,"What is the object in the image, and what is its intended function?",4.4,4.2,5.0,5.0,4.2
general,general,leather-fold,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.2,3.6,4.8,4.8,3.8
general,general,leather-glue,5,Explain the intended function or use of the object shown when it is in ideal condition.,3.6,3.4,4.2,5.0,3.4
general,general,leather-glue,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,3.6,4.8,4.4,3.8
general,general,leather-glue,5,"What is the object in the image, and what is its intended function?",3.4,3.4,3.8,5.0,3.4
general,general,leather-glue,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.2,2.6,3.6,4.8,3.0
general,general,leather-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.0,4.2,5.0,5.0,4.0
general,general,leather-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,3.2,4.2,4.6,3.8
general,general,leather-good,5,"What is the object in the image, and what is its intended function?",4.2,4.2,5.0,5.0,4.0
general,general,leather-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,3.8,5.0,4.6,4.2
general,general,leather-poke,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.4,4.0,5.0,4.6,4.0
general,general,leather-poke,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,3.6,4.6,5.0,4.0
general,general,leather-poke,5,"What is the object in the image, and what is its intended function?",3.4,3.4,3.6,4.8,3.4
general,general,leather-poke,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.2,3.4,4.4,4.8,3.4
general,general,metal_nut-bent,5,Explain the intended function or use of the object shown when it is in ideal condition.,2.2,2.8,3.0,5.0,2.2
general,general,metal_nut-bent,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",2.0,2.6,4.0,5.0,2.4
general,general,metal_nut-bent,5,"What is the object in the image, and what is its intended function?",1.4,2.0,2.6,5.0,1.6
general,general,metal_nut-bent,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",1.6,2.2,2.8,4.8,1.8
general,general,metal_nut-color,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.6,2.6,2.8,5.0,1.8
general,general,metal_nut-color,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,4.4,4.8,5.0,4.0
general,general,metal_nut-color,5,"What is the object in the image, and what is its intended function?",1.8,2.4,3.0,5.0,1.8
general,general,metal_nut-color,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",2.8,3.4,4.6,5.0,2.8
general,general,metal_nut-flip,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.4,1.6,2.0,5.0,1.4
general,general,metal_nut-flip,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",1.8,2.8,4.0,4.8,2.0
general,general,metal_nut-flip,5,"What is the object in the image, and what is its intended function?",1.2,1.6,2.0,4.8,1.4
general,general,metal_nut-flip,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",1.2,2.6,3.0,4.8,2.0
general,general,metal_nut-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.4,2.2,2.0,5.0,1.4
general,general,metal_nut-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",1.8,2.8,4.0,5.0,2.0
general,general,metal_nut-good,5,"What is the object in the image, and what is its intended function?",1.6,2.2,2.8,5.0,1.6
general,general,metal_nut-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",2.2,2.8,3.6,4.8,2.4
general,general,metal_nut-scratch,5,Explain the intended function or use of the object shown when it is in ideal condition.,2.2,3.0,3.0,5.0,2.2
general,general,metal_nut-scratch,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",2.8,3.2,4.4,4.8,2.8
general,general,metal_nut-scratch,5,"What is the object in the image, and what is its intended function?",2.0,3.0,3.0,5.0,2.0
general,general,metal_nut-scratch,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",1.8,2.4,3.0,5.0,2.0
general,domain,pcb1-bad,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.4,5.0,5.0,4.6
general,domain,pcb1-bad,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,3.0,4.4,5.0,3.4
general,domain,pcb1-bad,5,"What is the object in the image, and what is its intended function?",5.0,5.0,5.0,5.0,5.0
general,domain,pcb1-bad,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,3.8,5.0,5.0,4.0
general,domain,pcb1-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,5.0,5.0,5.0,5.0
general,domain,pcb1-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.8,3.0,4.6,5.0,3.6
general,domain,pcb1-good,5,"What is the object in the image, and what is its intended function?",5.0,5.0,5.0,5.0,5.0
general,domain,pcb1-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",5.0,4.0,5.0,5.0,4.0
general,domain,pcb2-bad,5,Explain the intended function or use of the object shown when it is in ideal condition.,3.4,3.0,3.8,5.0,3.2
general,domain,pcb2-bad,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",2.8,3.0,4.2,5.0,2.8
general,domain,pcb2-bad,5,"What is the object in the image, and what is its intended function?",2.8,2.8,4.0,4.8,3.0
general,domain,pcb2-bad,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.4,3.2,4.4,5.0,3.2
general,domain,pcb2-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.2,3.6,4.4,5.0,3.8
general,domain,pcb2-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,3.0,4.2,5.0,3.2
general,domain,pcb2-good,5,"What is the object in the image, and what is its intended function?",5.0,5.0,5.0,5.0,5.0
general,domain,pcb2-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.4,3.4,4.4,5.0,3.2
general,domain,pcb3-bad,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.0,1.0,1.4,5.0,1.0
general,domain,pcb3-bad,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.2,2.8,4.0,5.0,3.2
general,domain,pcb3-bad,5,"What is the object in the image, and what is its intended function?",1.4,2.2,2.8,5.0,1.8
general,domain,pcb3-bad,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",2.8,3.0,3.8,5.0,2.8
general,domain,pcb3-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.2,1.2,2.2,5.0,1.6
general,domain,pcb3-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.0,2.8,3.8,4.8,3.0
general,domain,pcb3-good,5,"What is the object in the image, and what is its intended function?",1.4,1.6,2.8,5.0,1.6
general,domain,pcb3-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.0,3.0,3.8,5.0,3.0
general,general,pill-color,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.6,5.0,5.0,4.8
general,general,pill-color,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,4.4,5.0,5.0,4.0
general,general,pill-color,5,"What is the object in the image, and what is its intended function?",5.0,4.6,5.0,5.0,4.6
general,general,pill-color,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.2,4.6,5.0,5.0,4.0
general,general,pill-combined,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.4,4.8,5.0,4.4
general,general,pill-combined,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,4.8,5.0,5.0,4.4
general,general,pill-combined,5,"What is the object in the image, and what is its intended function?",4.8,4.0,5.0,5.0,4.2
general,general,pill-combined,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,4.6,5.0,5.0,4.4
general,general,pill-crack,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.8,4.2,5.0,5.0,4.2
general,general,pill-crack,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.6,4.6,5.0,5.0,4.6
general,general,pill-crack,5,"What is the object in the image, and what is its intended function?",4.8,4.0,5.0,5.0,4.0
general,general,pill-crack,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,5.0,5.0,5.0,4.6
general,general,pill-faulty_imprint,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.8,4.4,5.0,5.0,4.4
general,general,pill-faulty_imprint,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.6,4.6,5.0,5.0,4.6
general,general,pill-faulty_imprint,5,"What is the object in the image, and what is its intended function?",4.6,4.4,5.0,5.0,4.4
general,general,pill-faulty_imprint,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.2,5.0,5.0,4.2
general,general,pill-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.8,5.0,5.0,4.8
general,general,pill-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.4,4.6,4.8,5.0,4.4
general,general,pill-good,5,"What is the object in the image, and what is its intended function?",4.6,4.0,5.0,5.0,4.0
general,general,pill-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,5.0,5.0,5.0,4.8
general,general,screw-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.4,5.0,5.0,4.4
general,general,screw-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,3.2,4.8,4.8,4.0
general,general,screw-good,5,"What is the object in the image, and what is its intended function?",4.0,3.6,4.8,5.0,3.6
general,general,screw-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,4.2,5.0,5.0,4.2
general,general,screw-manipulated_front,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.4,4.4,5.0,5.0,4.2
general,general,screw-manipulated_front,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.4,3.8,5.0,5.0,4.0
general,general,screw-manipulated_front,5,"What is the object in the image, and what is its intended function?",4.6,4.2,5.0,5.0,4.2
general,general,screw-manipulated_front,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.0,4.2,4.8,5.0,3.8
general,general,screw-scratch_head,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.2,5.0,5.0,4.2
